N,M,Result
958,24,246
130,62,23
878,77,598
502,80,159
409,38,97
194,90,118
718,32,231
258,20,134
282,14,246
935,43,885
675,19,136
745,68,410
901,91,732
64,13,10
357,35,217
704,24,14
868,71,647
848,63,414
336,58,229
760,56,22
404,17,199
218,16,172
587,95,17
308,43,247
329,94,39
827,34,555
125,36,48
695,48,299
872,38,525
372,26,323
400,96,215
267,80,49
760,75,387
279,89,166
567,35,313
374,82,3
75,62,40
799,39,443
550,62,391
925,52,519
100,43,15
533,88,479
379,7,40
456,59,412
743,61,442
689,87,299
210,27,182
203,36,111
888,33,267
944,7,12
441,9,170
355,82,272
302,38,267
716,91,17
265,37,235
298,99,23
379,57,22
940,91,607
72,35,40
146,64,66
106,69,8
819,64,638
340,78,281
910,84,327
808,67,435
388,30,13
561,96,452
130,95,111
128,19,66
256,84,151
58,33,51
198,2,141
51,47,8
133,73,60
10,9,7
620,72,180
501,82,403
407,6,146
526,42,517
687,36,523
282,100,14
804,97,213
666,70,567
68,60,17
233,60,51
777,8,233
834,76,616
553,33,508
46,43,19
918,16,31
983,64,356
269,15,190
808,94,40
924,7,815
859,2,695
525,11,401
789,54,87
693,99,82
728,77,260
436,40,436
726,36,523
647,52,107
193,31,171
613,93,73
223,9,136
444,54,168
154,53,140
529,49,404
875,47,779
13,8,13
523,73,278
598,15,160
368,83,32
919,66,707
934,73,506
976,60,342
658,2,293
332,79,49
702,49,331
786,58,392
551,74,178
71,13,32
79,29,9
947,2,871
492,50,295
846,20,542
471,21,436
877,60,869
114,75,52
562,90,370
800,72,400
182,69,178
193,50,69
243,74,56
304,54,40
406,95,90
765,48,752
640,70,54
330,9,304
611,52,134
782,98,532
981,14,668
365,66,126
5,5,2
478,36,428
244,43,226
409,25,134
252,42,123
596,76,232
554,3,65
768,1,768
975,32,926
922,43,326
323,46,26
716,21,363
966,21,620
672,45,245
823,75,360
673,5,654
113,41,11
92,42,75
871,90,738
797,56,532
209,31,65
138,24,112
388,28,379
738,69,540
981,71,360
318,80,19
859,32,827
908,99,651
346,27,22
542,24,479
108,38,48
394,26,132
270,58,34
363,66,358
615,80,271
214,63,117
384,99,8
663,69,262
971,76,208
785,56,648
729,26,6
232,67,154
413,10,283
968,74,688
301,31,126
176,55,91
509,92,41
727,73,283
188,10,43
322,85,192
352,1,352
292,87,74
522,52,62
226,21,204
105,92,103
51,32,16
921,30,472
494,29,104
811,30,618
925,36,291
635,33,260
215,55,86
78,34,60
757,47,120
178,87,95
381,50,366
838,30,610
72,36,66
732,23,206
68,3,65
590,68,483
358,4,270
343,43,126
258,18,164
277,65,95
955,80,385
873,61,298
158,34,50
941,69,346
722,16,232
722,2,421
27,26,12
432,34,403
806,38,526
568,88,261
255,11,50
580,2,137
108,45,20
379,41,371
152,93,59
961,26,48
970,56,546
108,92,58
902,3,310
392,59,27
995,7,369
727,6,392
106,70,43
707,73,261
286,42,208
617,45,351
550,26,456
552,95,124
584,74,347
529,17,492
261,79,76
757,65,92
649,89,143
233,11,59
646,37,239
343,6,145
65,38,33
20,19,11
980,6,161
762,62,571
717,49,356
399,16,55
474,53,383
537,63,511
226,55,25
610,12,331
209,91,155
366,27,203
510,74,329
120,24,65
944,39,915
155,48,44
818,59,50
115,14,92
206,26,171
520,90,370
834,53,376
388,15,388
757,57,80
125,69,40
258,24,121
13,11,4
788,99,602
252,95,58
181,40,62
209,95,123
950,94,169
626,47,208
282,42,40
92,71,78
481,25,141
99,48,7
400,76,126
559,30,444
372,51,30
130,93,127
107,76,2
261,20,194
313,31,191
645,100,176
426,68,365
276,19,188
283,27,213
615,9,124
766,30,59
479,55,470
338,50,13
807,62,222
85,77,39
542,24,479
376,90,275
168,92,139
107,26,19
367,64,314
382,95,181
948,58,254
682,8,221
549,84,107
350,66,211
285,91,213
406,66,126
854,63,792
614,44,335
356,71,346
28,4,27
837,3,115
355,66,188
424,1,424
302,99,118
618,96,22
775,33,681
365,49,288
290,75,236
907,22,690
247,93,38
316,66,291
641,40,134
10,3,4
308,3,215
429,17,207
316,26,226
433,58,106
423,13,277
836,80,694
454,29,367
491,69,413
80,69,72
888,45,673
187,61,48
470,20,88
976,72,692
891,67,31
39,11,25
659,19,500
933,41,401
893,37,160
909,65,833
726,92,395
138,59,20
424,15,123
301,75,176
839,79,713
741,71,444
652,76,107
384,52,124
798,82,567
769,78,13
163,40,35
173,48,84
578,3,137
574,61,570
34,15,32
468,82,122
803,44,169
970,28,145
220,75,62
525,48,59
330,4,158
360,68,184
209,18,199
528,31,282
112,13,11
790,22,626
17,5,11
332,13,210
279,93,113
927,20,391
487,93,416
362,88,29
729,23,137
681,70,271
951,42,514
742,53,235
823,40,60
948,99,911
973,32,862
349,71,201
641,38,43
842,48,452
613,23,180
152,70,55
644,18,399
663,35,624
58,48,49
383,71,45
220,10,158
676,32,287
215,32,86
277,35,241
111,4,78
700,52,152
660,97,154
364,34,74
764,54,298
275,40,228
277,85,248
310,49,272
576,67,28
97,91,51
925,24,402
882,73,345
717,68,692
116,1,116
432,100,186
743,66,633
323,50,257
876,62,279
827,87,178
963,10,687
92,21,51
314,30,254
873,63,264
575,18,367
811,17,788
868,64,406
351,9,159
988,45,499
211,9,28
947,57,710
268,29,218
290,30,136
863,40,817
671,1,671
470,64,258
530,52,478
500,61,326
170,58,101
273,16,73
211,35,106
332,92,10
947,8,738
848,29,508
882,16,372
570,54,415
245,9,100
761,9,761
928,54,731
71,2,15
774,27,292
327,71,325
231,45,212
669,82,234
610,58,567
591,66,517
948,45,632
996,94,595
905,59,877
161,4,155
990,62,829
706,98,508
432,84,88
454,66,282
608,42,601
3,2,3
248,31,130
768,56,470
86,61,41
914,54,890
374,45,118
485,91,389
372,47,60
277,23,123
849,13,298
246,73,227
525,57,235
11,1,11
290,82,89
933,12,393
188,44,28
402,39,53
690,42,162
404,17,199
113,65,75
918,51,599
152,19,104
717,100,569
956,10,617
469,21,394
821,63,384
245,27,230
870,18,761
961,27,101
694,63,673
331,45,295
344,93,258
206,69,91
898,52,31
434,73,10
565,48,339
611,23,134
205,53,180
85,18,23
63,36,14
109,83,107
26,5,13
750,66,350
97,76,63
87,87,74
413,31,20
130,71,15
885,41,258
578,57,505
550,24,126
866,57,608
717,13,172
903,24,783
746,49,312
369,83,115
130,4,31
48,15,41
816,85,70
851,19,414
475,64,104
574,10,461
831,77,394
448,28,415
4,2,1
843,65,48
555,81,547
358,5,56
772,36,694
417,33,316
218,7,117
399,5,261
947,39,87
682,73,519
667,83,58
336,57,89
957,73,291
669,22,147
468,44,349
742,16,552
44,5,36
465,11,230
716,32,167
817,81,70
990,86,122
919,11,584
136,95,13
355,95,199
179,17,16
258,14,175
538,61,42
348,96,88
82,12,45
521,64,42
569,60,154
190,92,12
779,78,14
827,18,815
724,22,663
761,53,490
716,18,338
298,58,237
193,25,187
150,8,149
354,22,195
343,100,173
625,75,592
652,30,216
248,7,92
668,71,196
763,67,557
668,45,65
667,97,167
412,72,40
550,36,479
585,61,82
993,99,524
930,78,690
495,42,231
285,93,106
149,18,6
785,22,516
738,71,231
745,48,542
694,61,326
839,82,665
843,9,737
602,63,52
274,72,266
318,24,119
91,10,34
226,77,224
295,75,25
601,28,599
266,13,230
447,51,154
943,94,460
692,43,114
393,7,138
137,86,42
504,13,422
589,62,542
721,40,613
38,26,1
495,92,264
357,27,319
467,9,404
141,23,41
84,63,28
308,55,292
593,65,230
624,88,423
137,84,74
462,84,371
352,39,9
79,38,61
675,12,475
572,94,445
769,33,483
493,82,244
919,32,81
21,1,21
687,60,325
954,9,879
663,11,138
236,35,84
263,87,58
770,6,650
671,15,625
76,2,25
761,40,746
534,18,184
855,69,689
292,16,90
893,57,389
458,56,433
918,38,485
333,77,193
447,12,431
791,99,109
395,69,378
627,44,286
737,39,329
893,62,447
167,61,74
472,46,152
37,37,16
663,6,8
484,17,228
335,82,15
182,86,95
950,63,553
188,51,128
570,44,179
808,58,68
640,81,285
690,1,690
517,4,1
272,72,122
479,76,434
745,61,564
903,56,536
615,36,512
368,26,219
54,30,4
249,10,221
384,28,267
360,31,313
958,53,693
888,50,712
532,33,353
502,81,459
91,63,28
927,62,738
952,87,365
800,98,718
35,14,32
202,44,54
831,1,831
799,30,258
329,3,278
347,80,344
244,90,20
134,99,76
427,34,233
680,75,155
71,26,56
643,58,615
502,17,33
521,49,12
820,20,22
53,7,22
157,17,147
325,67,11
458,15,187
598,78,325
385,26,287
967,3,505
720,44,337
815,20,741
553,76,409
162,86,95
627,57,294
789,95,755
879,1,879
847,18,347
387,78,328
362,8,213
34,16,5
921,78,910
330,34,304
574,94,59
317,1,317
960,40,145
304,37,271
431,53,353
574,11,402
352,78,180
678,79,92
2,2,1
351,69,308
391,19,43
962,23,409
426,37,80
610,13,135
127,8,97
695,69,433
876,54,617
610,75,85
858,92,704
610,1,610
66,47,3
671,93,319
142,93,16
690,66,5
49,36,18
272,34,125
995,30,786
620,90,274
699,6,224
662,93,150
413,11,103
65,9,11
564,94,261
323,19,189
156,44,8
23,21,10
434,50,173
313,100,129
440,44,28
718,27,279
737,36,187
800,3,4
957,31,630
513,46,55
757,55,682
520,15,127
231,42,205
345,20,59
547,35,172
376,9,8
124,7,109
207,71,169
980,64,164
446,50,333
836,24,46
239,42,71
23,5,22
75,17,60
994,74,654
217,100,8
715,80,292
572,85,52
312,1,312
928,61,31
600,27,381
602,33,408
842,92,83
497,22,415
452,35,334
674,59,501
579,43,345
88,16,69
694,54,175
733,33,50
901,58,312
501,38,419
347,73,285
991,70,452
568,41,197
995,59,510
583,7,523
365,66,126
726,88,663
154,41,91
820,40,762
839,96,179
511,20,417
758,78,683
996,10,23
384,70,240
29,23,1
466,19,165
942,33,205
728,58,67
483,43,433
745,73,119
810,13,618
594,85,164
342,71,51
152,42,87
904,37,567
198,74,43
828,53,58
663,48,127
12,10,5
268,75,254
974,31,189
117,92,98
15,5,1
738,1,738
985,7,299
118,17,29
683,94,237
425,93,118
356,48,243
322,35,16
985,6,191
693,43,157
758,41,15
94,27,61
439,29,374
71,68,24
794,23,85
668,59,147
301,79,140
337,84,167
142,62,84
347,44,261
882,58,106
577,54,220
568,36,6
598,52,67
36,17,29
341,12,294
802,77,608
285,60,50
816,25,186
57,16,5
419,60,33
622,35,462
252,21,32
605,18,319
429,38,10
989,16,189
374,95,179
238,76,42
563,9,258
24,5,3
364,41,126
492,6,196
294,73,242
369,50,140
841,4,607
111,43,63
653,12,211
127,92,39
964,41,725
853,52,334
18,10,3
937,69,70
591,4,297
73,23,42
825,62,521
622,76,381
876,84,159
423,60,273
981,36,392
102,72,55
532,58,36
795,3,788
25,3,14
828,61,116
373,59,62
37,23,16
592,93,532
398,80,350
721,25,143
697,9,185
963,53,958
711,57,404
457,76,165
260,32,97
928,23,572
30,20,26
623,87,455
875,13,636
368,8,261
251,8,212
894,54,708
805,96,214
234,35,14
747,84,665
50,50,46
196,18,163
519,65,414
611,49,456
303,22,64
455,57,168
332,44,277
683,20,322
898,82,294
56,21,26
341,37,25
348,14,247
497,86,125
598,27,327
554,42,73
604,11,140
326,97,79
982,67,491
944,88,826
463,68,219
959,58,892
396,7,159
993,57,425
252,96,122
121,13,7
909,74,81
333,45,53
672,20,102
496,88,302
905,80,117
906,24,855
515,92,78
207,27,101
148,27,92
5,1,5
95,39,71
600,74,347
909,60,110
672,80,323
333,73,280
653,60,298
975,75,53
801,53,266
490,38,1
576,43,216
207,12,28
727,7,244
349,99,217
117,27,50
38,4,38
899,93,464
961,11,93
524,13,171
813,44,609
945,66,563
192,80,5
542,52,28
157,54,136
761,84,335
85,2,43
647,69,468
600,10,134
158,66,97
737,41,652
836,43,163
325,39,311
576,36,294
726,80,451
236,95,10
314,9,160
572,20,5
496,57,118
481,68,21
988,9,221
998,22,812
977,44,721
252,79,137
297,71,65
90,87,68
27,12,26
513,36,206
585,80,273
878,68,553
824,13,800
84,63,28
883,67,386
881,84,579
640,76,489
738,61,137
140,63,14
883,27,763
704,10,522
613,21,199
446,51,103
53,24,25
942,14,122
329,66,183
204,67,26
135,68,63
255,8,244
382,72,268
61,44,24
17,7,2
508,56,352
508,46,337
947,28,466
479,74,18
41,16,1
852,91,643
702,83,214
362,89,221
141,65,126
385,4,378
494,66,72
654,66,329
837,10,322
307,64,166
648,76,454
457,32,48
941,97,412
233,57,146
332,95,79
768,96,595
970,47,661
917,99,631
701,4,47
154,10,53
416,8,261
249,28,200
762,19,339
902,68,405
671,57,200
250,100,23
589,43,190
397,94,265
474,22,388
72,20,53
881,11,166
769,21,742
415,21,140
568,1,568
46,35,10
286,45,115
726,58,678
199,41,187
733,54,128
379,95,277
899,38,669
123,97,54
523,31,127
518,49,386
405,90,150
531,37,118
346,65,232
787,71,663
372,27,365
143,75,41
645,25,306
364,49,239
77,59,15
254,24,25
142,23,64
29,26,7
716,14,312
653,73,400
772,10,477
83,13,32
258,26,144
718,9,374
125,76,90
121,21,17
428,27,298
30,10,28
526,80,13
81,55,34
236,2,217
249,15,147
79,48,32
20,11,15
730,55,674
124,67,14
648,19,291
22,5,17
760,67,356
586,60,11
64,49,43
13,1,13
445,22,207
592,38,52
780,91,600
274,2,37
425,100,343
329,56,201
436,56,95
937,27,411
342,67,145
876,28,307
488,97,60
312,86,153
16,6,13
780,41,140
155,90,92
503,2,495
679,38,154
119,32,97
205,54,20
350,53,317
349,69,170
907,14,566
507,92,366
578,76,43
552,58,104
798,15,357
400,64,127
742,10,177
60,33,58
785,94,276
825,54,410
955,86,45
686,49,243
606,52,483
851,91,552
549,18,454
491,96,43
78,7,69
159,76,128
980,24,774
293,66,287
837,39,286
713,16,88
251,61,7
138,31,95
496,39,104
96,18,38
424,38,249
759,30,614
906,93,211
909,49,903
25,12,2
543,81,124
209,47,84
126,56,59
224,89,45
273,9,88
539,100,229
917,54,137
288,33,217
441,97,159
913,60,350
407,53,332
905,3,319
746,33,479
886,9,267
482,7,325
564,1,564
168,95,168
780,28,125
443,13,101
142,13,7
523,65,153
553,34,110
945,14,164
48,22,39
595,53,437
745,71,728
589,62,542
432,88,230
841,38,206
347,14,233
536,83,37
731,15,127
351,85,305
643,82,78
256,15,252
23,22,6
136,87,43
920,21,591
818,1,818
998,62,332
236,88,167
764,22,54
641,93,159
152,56,128
925,40,635
171,45,97
849,62,335
551,68,113
479,49,456
487,88,3
76,37,38
413,92,404
643,4,505
418,42,191
384,95,371
922,37,319
39,29,7
185,83,85
99,41,76
455,68,135
396,15,119
929,56,155
269,78,191
198,92,164
405,51,149
58,4,27
307,4,66
927,85,796
903,49,609
644,25,281
407,58,281
254,91,87
102,38,31
564,51,39
729,29,213
551,52,496
802,9,368
164,77,87
803,62,778
994,4,299
250,2,245
949,20,831
12,2,9
683,77,327
838,100,252
106,88,97
777,100,610
249,75,120
930,13,456
527,52,322
780,96,199
91,78,90
2,2,1
405,96,293
533,1,533
738,45,391
688,18,532
608,83,277
664,66,329
785,36,387
78,12,76
256,78,225
166,96,118
739,15,247
814,24,353
593,22,375
879,72,200
921,47,250
613,26,365
639,60,107
46,3,46
903,42,354
980,17,91
73,69,48
770,53,200
580,87,318
822,81,475
203,82,61
828,13,25
468,49,387
388,58,367
901,69,355
946,30,285
212,54,189
245,96,196
159,20,16
367,43,87
354,21,28
315,12,299
954,48,444
137,83,104
398,62,335
673,13,304
384,57,307
106,67,78
914,53,234
292,65,216
732,18,626
286,52,51
152,25,21
393,23,119
630,95,444
588,33,536
191,96,13
684,66,299
872,40,312
123,9,70
56,46,37
230,4,49
977,61,143
444,31,113
881,15,772
800,43,261
29,8,23
602,100,249
548,78,428
945,64,813
953,18,449
791,39,131
419,62,418
692,98,531
945,59,471
132,83,93
379,30,131
958,13,820
1000,61,555
314,58,250
550,92,88
402,41,146
229,44,162
874,91,52
905,34,623
767,100,381
733,85,21
961,45,261
526,86,49
32,16,7
74,41,2
585,81,127
986,90,926
859,81,102
372,40,276
317,100,214
3,1,3
585,81,127
643,30,591
720,50,308
457,41,252
899,23,809
437,63,38
943,91,880
719,2,415
143,42,6
853,99,483
355,83,44
189,31,47
743,5,326
6,6,4
309,65,118
73,7,34
604,62,282
55,46,47
891,23,625
14,6,1
128,22,95
916,39,744
767,92,436
720,82,239
433,16,177
902,45,410
75,44,24
845,81,674
687,24,310
689,54,596
247,58,4
888,83,606
574,70,304
630,50,518
588,6,220
274,56,130
268,41,258
22,7,17
212,54,189
279,10,268
85,4,66
73,33,22
166,100,77
948,18,359
374,97,178
85,83,48
392,95,357
649,73,108
627,21,493
787,26,756
76,45,48
177,31,45
207,23,186
403,43,84
302,53,52
876,40,472
980,94,81
268,53,245
657,81,364
188,97,45
791,26,71
898,76,285
884,48,748
712,68,352
767,86,244
792,5,571
17,4,5
438,85,245
422,62,184
334,68,153
612,59,63
520,41,403
777,79,642
706,34,265
762,83,49
401,88,9
361,15,346
596,24,67
885,30,298
211,53,82
823,69,160
868,19,737
846,65,243
972,32,830
892,89,312
699,46,120
482,17,194
969,81,788
720,68,178
699,11,534
45,12,33
562,17,521
871,24,15
139,13,110
673,76,374
284,55,152
586,26,262
403,69,132
546,90,40
665,39,326
448,53,380
48,15,41
587,18,583
223,75,64
667,19,652
88,74,76
937,85,717
803,86,190
611,4,377
793,1,793
460,96,399
290,84,285
152,62,116
515,33,314
666,21,12
128,47,86
29,21,3
418,42,191
604,63,178
64,22,60
187,77,101
166,50,153
84,54,49
715,57,632
879,9,204
455,92,378
615,20,263
30,20,26
882,28,475
305,30,290
174,62,8
359,43,108
847,40,177
489,28,163
19,10,13
213,74,122
59,8,2
730,48,556
525,29,495
844,2,665
348,17,10
753,29,161
632,34,423
335,61,152
681,48,316
937,78,302
895,68,826
539,70,86
983,37,672
124,38,75
580,14,346
619,62,602
455,56,265
110,85,10
42,30,31
606,50,546
277,15,35
402,93,55
763,89,407
827,61,55
210,10,58
451,49,15
392,52,150
995,83,61
476,55,305
412,76,224
145,15,113
106,89,23
431,23,163
288,92,13
135,58,51
899,41,832
583,81,549
907,21,318
832,27,241
623,96,502
415,28,343
229,92,24
342,98,43
600,55,145
401,65,70
836,29,160
854,86,425
992,13,292
663,56,304
176,18,167
92,14,74
199,67,96
337,62,211
322,19,170
493,71,442
308,75,91
655,6,622
38,2,13
522,42,349
251,44,173
250,99,202
403,66,333
152,88,48
384,69,9
850,70,676
607,56,342
85,27,85
191,57,80
533,3,2
487,27,53
552,5,49
100,29,80
239,15,237
745,92,675
604,59,202
957,95,178
850,82,725
979,90,296
604,94,521
799,57,124
310,31,98
188,46,96
273,98,52
511,53,384
471,99,55
142,7,108
477,59,256
7,5,6
447,61,392
97,60,26
100,63,16
109,65,38
609,79,438
52,7,15
687,40,648
965,85,243
851,90,655
221,93,197
504,15,399
642,82,639
118,42,11
846,77,712
272,80,179
227,64,91
483,23,451
282,69,256
491,11,27
712,27,117
247,1,247
420,88,29
959,78,114
74,67,73
880,99,558
462,56,198
691,32,78
981,57,727
986,11,368
445,7,66
245,20,126
360,22,327
975,88,683
796,30,168
730,13,341
684,85,128
843,22,158
343,36,44
639,58,383
595,96,248
965,19,780
768,63,229
341,7,148
297,71,65
544,56,266
819,66,186
248,95,179
12,4,1
490,79,328
871,42,779
420,95,177
780,21,202
990,23,65
635,26,314
436,96,330
425,15,138
900,37,419
639,45,79
887,12,742
902,10,77
81,32,61
85,78,62
692,14,670
694,36,83
74,55,39
79,5,33
164,10,153
900,49,462
13,9,11
196,72,15
616,96,448
194,77,66
82,23,14
305,91,267
43,31,17
519,45,456
509,13,487
361,7,288
766,62,53
613,52,238
20,3,20
973,48,391
732,100,624
529,52,426
530,34,412
693,17,267
407,89,393
589,91,216
201,16,108
937,89,659
673,10,212
780,98,336
715,28,551
150,1,150
319,82,19
938,17,352
881,88,735
176,34,161
239,98,58
369,80,322
508,2,505
478,13,84
179,28,134
606,45,466
196,41,64
555,51,144
495,80,100
689,58,639
318,73,161
865,49,511
501,68,397
359,88,127
893,64,240
425,55,201
192,19,189
357,14,17
26,21,24
804,69,479
302,13,136
102,49,12
292,31,144
453,73,57
392,81,10
262,38,149
514,50,391
738,55,382
792,32,325
640,99,185
204,73,77
420,20,418
445,13,127
332,12,186
222,29,102
500,19,328
939,33,106
856,60,472
195,77,143
679,57,656
334,73,19
420,7,327
675,24,22
669,3,410
645,43,115
925,1,925
190,26,147
296,83,44
843,5,826
797,11,108
777,3,734
868,71,647
393,86,77
139,62,39
252,92,214
144,36,56
57,43,25
699,57,424
63,32,57
255,51,10
110,53,34
508,15,459
10,10,8
509,3,463
718,57,86
994,82,598
420,32,190
761,26,80
889,36,804
115,74,49
369,40,156
792,6,782
132,57,79
726,68,586
193,49,182
296,74,209
580,52,314
101,80,13
841,49,190
772,90,41
500,20,197
458,73,422
815,3,49
815,67,90
637,70,484
926,31,606
387,81,385
46,5,46
615,65,452
924,92,551
695,14,18
82,10,32
603,34,57
537,67,210
862,10,572
617,21,283
566,53,63
227,85,25
934,70,318
508,1,508
562,6,64
929,77,926
807,51,119
888,85,203
235,16,222
62,61,51
673,81,330
577,45,340
441,19,148
786,16,501
135,73,71
80,3,31
200,56,7
342,77,211
782,6,722
382,36,362
760,92,555
160,38,19
853,88,7
286,6,122
150,35,115
574,40,489
950,52,886
392,63,119
311,17,56
202,4,155
726,76,199
258,99,233
312,28,310
801,74,640
525,7,117
647,37,276
532,4,61
521,76,127
443,1,443
735,29,387
373,86,276
862,70,663
624,36,218
285,57,280
4,1,4
972,3,520
496,35,466
69,48,1
273,58,208
500,68,329
870,34,320
138,12,68
55,48,18
567,32,505
136,61,9
49,21,37
216,30,171
609,33,30
92,5,7
711,21,258
409,26,117
362,29,133
717,73,277
226,30,27
514,52,167
218,53,21
907,69,769
692,70,354
303,77,111
385,80,93
90,30,5
314,47,91
754,46,466
639,52,336
548,11,116
728,19,438
834,97,665
860,1,860
125,41,21
585,80,273
832,44,627
395,43,142
72,47,5
923,62,490
545,86,68
315,14,116
969,34,943
943,14,136
689,69,19
479,85,53
16,7,12
38,35,27
179,60,103
435,22,423
392,33,295
352,15,211
285,16,265
646,57,99
784,36,351
845,53,116
280,71,19
79,15,1
742,24,191
519,16,108
365,28,110
265,100,233
591,39,561
595,96,248
810,35,686
65,63,26
577,52,158
252,7,120
447,94,333
179,72,109
997,91,967
629,80,143
385,31,352
569,25,231
1000,10,63
753,71,550
516,42,97
439,83,272
208,84,61
504,49,211
184,30,13
882,5,173
241,86,112
804,69,479
504,53,13
490,47,468
888,2,753
948,16,511
232,14,57
611,80,563
812,6,107
367,87,367
689,16,412
307,86,34
588,29,100
698,32,302
760,29,364
294,33,124
170,83,86
50,25,5
119,81,37
375,78,153
935,13,521
535,99,349
566,63,134
802,21,664
2,2,1
579,22,67
446,71,375
765,32,243
998,48,605
445,77,327
992,50,279
711,30,627
463,8,198
928,42,487
609,70,390
800,38,298
197,31,101
879,93,384
881,9,222
146,69,135
415,93,32
507,13,461
753,38,77
792,41,632
795,51,312
348,7,197
575,92,128
357,73,314
524,9,442
445,85,399
922,95,617
655,13,70
695,81,53
369,84,20
736,22,200
860,42,317
581,25,531
555,4,153
185,100,40
546,9,105
463,62,61
123,29,83
595,57,304
675,94,166
494,84,192
216,65,72
899,96,726
114,25,15
125,96,89
810,53,743
145,56,34
986,75,878
415,78,106
514,76,115
491,62,363
740,76,529
611,36,368
974,49,333
282,57,109
774,79,405
936,88,122
635,19,44
847,58,673
236,72,76
660,79,16
962,40,225
404,84,247
122,78,73
434,3,238
88,81,12
418,21,203
961,44,17
606,47,499
802,28,741
425,79,216
233,99,206
967,63,667
917,47,62
324,17,277
976,97,936
558,47,552
600,84,364
275,38,104
834,66,347
497,17,449
989,47,577
434,100,386
697,75,45
268,13,256
779,75,270
153,76,140
372,13,16
178,51,165
107,46,102
137,22,27
261,44,101
845,8,777
507,63,184
207,15,190
684,14,558
225,14,187
60,16,53
866,96,206
616,6,388
261,97,216
85,27,85
278,72,1
543,41,286
409,80,18
217,10,128
728,12,417
548,96,312
741,32,233
680,73,373
903,13,105
907,96,593
601,4,337
245,70,112
114,78,41
325,57,126
883,96,82
293,16,106
604,26,131
57,32,45
570,92,242
722,51,384
55,51,54
343,73,337
666,41,524
511,28,277
140,30,4
340,72,130
890,55,638
455,62,28
3,2,3
850,43,765
633,60,385
440,16,289
807,55,311
574,73,155
462,76,84
924,83,885
944,17,454
589,69,173
939,26,436
750,93,573
818,5,701
614,56,122
178,12,73
634,44,594
880,53,235
395,22,356
596,65,425
457,4,278
948,48,156
157,9,100
228,46,60
696,52,642
140,44,51
407,30,182
65,50,51
720,49,503
279,11,38
835,67,604
119,70,49
634,17,580
924,36,255
294,61,169
501,40,243
163,82,77
572,23,422
642,97,364
103,34,4
987,67,826
558,30,414
566,97,237
901,13,79
417,2,323
361,46,49
259,78,202
44,44,14
376,56,3
911,97,285
1000,85,261
472,71,392
787,55,13
829,99,628
840,79,792
843,4,615
913,50,160
609,59,497
341,65,250
648,42,409
812,1,812
528,59,250
134,92,27
754,55,517
492,9,154
707,93,216
674,40,128
82,78,80
740,67,515
45,29,9
404,24,399
578,59,441
68,18,27
380,20,18
163,40,35
584,88,518
739,83,399
926,96,586
879,75,297
878,17,250
202,30,166
590,79,137
94,54,53
443,42,383
495,63,430
389,68,285
555,15,103
238,62,63
616,13,213
360,31,313
6,6,4
225,60,33
129,1,129
909,22,734
659,25,656
15,5,1
889,24,447
61,61,52
121,74,18
15,9,15
792,49,252
377,64,212
384,2,257
59,2,55
406,51,200
414,77,90
40,29,36
93,46,56
759,50,26
514,44,422
150,35,115
31,31,17
82,31,73
285,87,45
205,82,20
468,15,337
670,58,215
7,4,2
592,30,288
91,19,20
115,15,50
892,1,892
992,64,932
246,95,236
107,10,96
34,26,8
460,50,126
813,88,658
795,17,516
609,36,296
740,84,77
81,23,73
750,21,343
449,18,141
6,3,1
941,40,342
182,70,154
798,91,664
93,34,59
700,51,678
555,33,19
594,31,71
214,43,78
526,27,78
554,40,251
701,52,204
927,63,46
929,83,375
500,99,498
680,78,335
968,36,895
515,22,310
291,78,229
163,39,75
271,36,212
155,74,42
836,90,149
771,93,244
456,18,267
250,65,185
757,8,73
909,34,759
88,53,59
875,91,143
296,90,103
725,75,723
557,72,353
534,44,256
940,98,575
592,86,113
439,93,119
796,10,717
14,3,2
677,26,84
73,58,15
773,51,753
355,6,217
507,95,99
422,52,74
686,92,248
460,67,50
324,21,87
99,89,20
61,23,36
528,80,173
64,36,50
884,41,217
112,69,93
686,66,431
854,88,95
896,44,872
149,11,86
40,33,38
792,64,517
423,38,211
883,55,253
986,19,203
705,54,65
197,48,126
18,13,10
342,99,215
253,65,128
975,33,328
70,25,19
263,7,197
362,86,66
911,66,179
72,12,4
253,83,56
968,8,906
108,84,83
356,97,258
325,76,214
700,53,181
105,35,53
389,78,96
772,36,694
190,40,48
432,87,38
173,1,173
266,3,89
708,8,429
584,58,250
395,95,249
555,56,332
336,84,83
879,34,626
547,2,71
839,45,196
92,34,25
943,37,157
191,43,105
529,12,476
227,1,227
564,50,198
339,19,162
493,87,248
807,75,787
556,25,466
497,56,238
193,70,176
457,34,373
135,16,52
159,56,52
841,61,69
431,66,94
586,76,65
347,90,192
136,76,8
640,68,195
697,52,694
921,31,451
779,69,338
82,60,26
745,39,641
226,18,73
308,52,304
674,9,655
373,29,81
115,12,47
286,79,131
816,66,805
965,58,279
352,65,274
898,13,40
18,9,8
929,43,627
869,11,34
803,10,787
231,88,194
345,74,327
129,10,86
860,94,756
622,6,424
254,43,160
662,84,537
585,61,82
667,30,666
621,96,310
937,8,658
815,77,804
954,17,624
585,49,374
375,3,61
33,24,14
199,79,9
107,73,80
298,92,48
463,59,368
192,76,1
480,73,154
817,5,696
775,36,27
619,37,503
104,59,70
244,79,4
416,75,273
789,83,738
